# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.106,2.89238268652308E+019,-190108339217077,9.45816784334273E+032,1.23394219872382E+034,-133039375.116529
0.108,2.6480309071482E+019,-174047772166767,8.65888303833144E+032,1.13222733792581E+034,-123146699.053836
0.11,2.42327493346482E+019,-159275183051488,7.92372729384776E+032,1.03835969499986E+034,-113900923.059952
0.112,2.21667553815985E+019,-145695975479932,7.24798681491865E+032,9.51801621221181E+033,-105271128.076315
0.114,2.02688191278756E+019,-133221364582154,6.62723789843704E+032,8.7204339529488E+033,-97226249.0590295
0.116,1.85262865549104E+019,-121768179022046,6.057336973289E+032,7.98603057224528E+033,-89735388.7270719
0.118,1.69273246397331E+019,-111258643636145,5.53440968756415E+032,7.31026004477471E+033,-82768067.8427999
0.12,1.54608862127178E+019,-101620148453292,5.05483932838313E+032,6.68884396704018E+033,-76294430.4534635
0.122,1.41166734798686E+019,-92785008938160.9,4.6152548142675E+032,6.11776409015041E+033,-70285413.2250412
0.124,1.28851008245112E+019,-84690221496788.3,4.21251846030875E+032,5.59325368259973E+033,-64712866.277727
0.126,1.17572573973785E+019,-77277217592503.3,3.84371368184562E+032,5.11178801798005E+033,-59549655.5133822
0.128,1.07248699125067E+019,-70491619213337.2,3.50613277239861E+032,4.67007423869546E+033,-54769729.5546119
0.13,9.78026598672511E+018,-64282997913677,3.19726486570863E+032,4.26504080802373E+033,-50348169.4736817
0.132,8.91633829282712E+018,-58604639202804.6,2.91478416948663E+032,3.89382672886409E+033,-46261217.0427939
0.134,8.1265097373917E+018,-53413313668721.6,2.65653853938586E+032,3.55377067767674E+033,-42486287.3233569
0.136,7.40469982499863E+018,-48669055899578.1,2.42053844548129E+032,3.24240017615217E+033,-39001968.4222014
0.138,6.74529232773095E+018,-44334951984559.8,2.20494636972435E+032,2.95742090051673E+033,-35788010.7739715
0.14,6.14310434375462E+018,-40376936144506.1,2.0080666612807E+032,2.69670620891358E+033,-32825305.6993305
0.142,5.59335679853524E+018,-36763596844789.6,1.82833586687064E+032,2.45828695039199E+033,-30095859.1762254
0.144,5.09164641740912E+018,-33465992578896.8,1.66431354520091E+032,2.24034160468909E+033,-27582758.8027583
0.146,4.6339191780378E+018,-30457477378824,1.51467356786099E+032,2.04118678962233E+033,-25270136.4435785
0.148,4.21644523415373E+018,-27713535995832.1,1.37819590365328E+032,1.85926816252178E+033,-23143128.3077208
0.15,3.83579528873874E+018,-25211628608031.7,1.25375887890176E+032,1.69315173329136E+033,-21187832.6006052
0.152,3.48881838390617E+018,-22931044839539.2,1.14033190283008E+032,1.54151559935628E+033,-19391265.0346953
