"","V1","V2"
"82",-2797.17665245579,7.38933426574454e-29
"83",-2803.71366286324,8.61929194909657e-29
"84",-2810.02124534365,8.14421202357658e-29
"85",-2816.10745208803,9.02589478850068e-29
"86",-2821.98005267965,9.97587229351663e-29
"87",-2827.64654401287,9.95134675349758e-29
"88",-2833.11415986386,1.04498838142696e-28
"89",-2838.38988012533,1.21290867260938e-28
"90",-2843.4804397172,1.15248119664782e-28
"91",-2848.39233718454,1.27409369344519e-28
"92",-2853.13184299357,1.40507883304688e-28
"93",-2857.70500753675,1.33525182638221e-28
"94",-2862.11766885666,1.328702368755e-28
"95",-2866.37546009887,1.55077067369289e-28
"96",-2870.4838167033,1.58829318548483e-28
"97",-2874.4479833431,1.45458440373569e-28
"98",-2878.27302061995,1.70786057076359e-28
"99",-2881.96381152455,1.74700290369555e-28
"100",-2885.52506767003,1.73618803500796e-28
"101",-2888.96133530702,1.9283259282737e-28
"102",-2892.27700112725,1.97125994475316e-28
"103",-2895.47629786354,2.07118438234029e-28
"104",-2898.56330969345,2.35758547708255e-28
"105",-2901.54197745289,2.41370547575882e-28
"106",-2904.41610366717,2.40276801982829e-28
"107",-2907.18935740517,2.59495682304109e-28
"108",-2909.86527896323,2.57944060185473e-28
"109",-2912.44728438481,2.86548346335015e-28
"110",-2914.93866982105,3.17401324329357e-28
"111",-2917.34261573906,2.99342934054208e-28
"112",-2919.66219098173,3.14582386883459e-28
"113",-2921.90035668537,3.77833070114668e-28
"114",-2924.05997006027,3.7722902311762e-28
"115",-2926.14378803759,3.86022269416598e-28
"116",-2928.15447078932,3.9473858980371e-28
"117",-2930.09458512391,4.14870992570937e-28
"118",-2931.96660776326,4.23924841562541e-28
"119",-2933.77292850432,4.58289687400511e-28
"120",-2935.51585326993,4.68304845122346e-28
"121",-2937.19760705254,5.2034498826422e-28
"122",-2938.8203367545,5.61704737613089e-28
"123",-2940.38611392893,6.05939840615467e-28
"124",-2941.89693742424,6.04244070384071e-28
"125",-2943.35473593558,6.52296726024564e-28
"126",-2944.76137046735,7.39777892968863e-28
"127",-2946.11863670859,7.58644208371637e-28
"128",-2947.42826732547,7.97449888409422e-28
"129",-2948.69193417347,8.17292831966251e-28
"130",-2949.91125043114,8.81144221062922e-28
"131",-2951.0877726598,8.56774914582876e-28
"132",-2952.22300279052,9.49317686484043e-28
"133",-2953.31839004133,1.04909919640677e-27
"134",-2954.37533276777,1.04902703225028e-27
"135",-2955.39518024724,1.10275632979399e-27
"136",-2956.37923440227,1.18897081825007e-27
"137",-2957.32875146183,1.18739248971708e-27
"138",-2958.24494356552,1.21538828049504e-27
"139",-2959.12898031081,1.38127113162859e-27
"140",-2959.98199024592,1.37946617295669e-27
"141",-2960.80506231098,1.56466948255169e-27
"142",-2961.59924722759,1.56465047511325e-27
"143",-2962.36555884055,1.68705511416987e-27
"144",-2963.10497541223,1.72923061406055e-27
"145",-2963.81844087069,1.77130488397065e-27
"146",-2964.50686601569,2.00917280389733e-27
"147",-2965.17112968048,2.06072170608182e-27
"148",-2965.81207985437,2.3830879854312e-27
"149",-2966.43053476503,2.39148016703401e-27
"150",-2967.02728392267,2.39447080481552e-27
"151",-2967.60308912907,2.45441569078896e-27
"152",-2968.1586854479,2.7788722550108e-27
"153",-2968.69478214585,3.06062065392077e-27
"154",-2969.21206359595,3.07146339409115e-27
"155",-2969.71119015188,3.30601911168935e-27
"156",-2970.19279899168,3.0715876764607e-27
"157",-2970.6575049297,3.48423226454748e-27
"158",-2971.1059012029,3.84182048331557e-27
"159",-2971.5385602275,4.13302520975352e-27
"160",-2971.95603432934,4.04899595316508e-27
"161",-2972.35885644992,4.56841514609811e-27
"162",-2972.74754082614,5.1305200361967e-27
"163",-2973.12258364642,5.04972871491423e-27
"164",-2973.48446368558,5.55042444444966e-27
"165",-2973.83364291313,5.45495183762689e-27
"166",-2974.1705670875,6.26867120474926e-27
"167",-2974.4956663204,6.17001906101432e-27
"168",-2974.80935562863,6.92929213657198e-27
"169",-2975.11203546405,7.2852927363576e-27
"170",-2975.40409222226,7.49662924030641e-27
"171",-2975.68589873986,8.22449746913081e-27
"172",-2975.95781476559,8.64709345631439e-27
"173",-2976.22018742438,9.2808252110402e-27
"174",-2976.47335165719,9.55859663182743e-27
"175",-2976.71763064919,1.06779089745928e-26
"176",-2976.95333624367,1.12266474090687e-26
"177",-2977.18076933867,1.15721613691959e-26
"178",-2977.40022027295,1.31402455497517e-26
"179",-2977.61196919332,1.35597438113016e-26
"180",-2977.816286416,1.56016354890058e-26
"181",-2978.01343276711,1.64035273573531e-26
"182",-2978.20365992466,1.69493016393111e-26
"183",-2978.38721072715,1.8445788359148e-26
"184",-2978.56431949372,1.97226493439211e-26
"185",-2978.73521231856,2.07364573537054e-26
"186",-2978.90010735935,2.18024033293707e-26
"187",-2979.05921512136,2.44513801748846e-26
"188",-2979.21273871821,2.65117310488079e-26
"189",-2979.36087413589,2.66076113391132e-26
"190",-2979.50381048132,2.97516979947229e-26
"191",-2979.64173022488,3.31487631930524e-26
"192",-2979.7748094334,3.38711929417955e-26
"193",-2979.90321799494,3.7160940805609e-26
"194",-2980.02711983073,4.06994589488669e-26
"195",-2980.14667311508,4.22213983770271e-26
"196",-2980.26203046633,4.49920743858282e-26
"197",-2980.3733391472,5.04590334824132e-26
"198",-2980.48074125629,5.57060966093886e-26
"199",-2980.58437389923,5.92675768756847e-26
"200",-2980.6843693704,6.37811864930426e-26
"201",-2980.78085532269,6.78314950496519e-26
"202",-2980.87395493016,7.53715265532057e-26
"203",-2980.96378704376,7.75428324664904e-26
"204",-2981.05046633682,8.78016140969503e-26
"205",-2981.1341034686,9.60844242862996e-26
"206",-2981.21480520408,1.03996505841556e-25
"207",-2981.29267457014,1.14551026445509e-25
"208",-2981.36781097722,1.24821160836736e-25
"209",-2981.44031033298,1.36995909481572e-25
"210",-2981.51026519292,1.51303203417712e-25
"211",-2981.57776485383,1.59083737664967e-25
"212",-2981.64289550513,1.76631253816361e-25
"213",-2981.70574027349,1.88528253286735e-25
"214",-2981.76637939127,2.11536774796816e-25
"215",-2981.82489025961,2.33302536350639e-25
"216",-2981.88134760124,2.50206247960009e-25
"217",-2981.93582345357,2.71670496952909e-25
"218",-2981.98838737303,2.96488638388126e-25
"219",-2982.03910647811,3.26942675988322e-25
"220",-2982.08804549614,3.51750665856258e-25
"221",-2982.13526689825,3.95056611913393e-25
"222",-2982.18083097856,4.26420569269061e-25
"223",-2982.22479590401,4.78550229899591e-25
"224",-2982.26721779989,5.22701409344022e-25
"225",-2982.30815081201,5.75264556989421e-25
"226",-2982.34764719086,6.29151634487904e-25
"227",-2982.38575737866,6.84220944420761e-25
"228",-2982.42252999589,7.46275774155225e-25
"229",-2982.45801202685,8.28597028909564e-25
"230",-2982.49224874861,9.17412056883288e-25
"231",-2982.52528383578,1.0131710945129e-24
"232",-2982.55715949565,1.10905708647842e-24
"233",-2982.58791640164,1.22746963285854e-24
"234",-2982.61759383089,1.35109574359949e-24
"235",-2982.6462296953,1.49267273254709e-24
"236",-2982.67386047755,1.64969763182729e-24
"237",-2982.70052151256,1.81892635039842e-24
"238",-2982.72624680852,2.00119888834404e-24
"239",-2982.75106922705,2.20259194033812e-24
"240",-2982.7750204309,2.40850939491524e-24
"241",-2982.79813101734,2.66988781167535e-24
"242",-2982.82043047147,2.9397337439363e-24
"243",-2982.84194725258,3.25561042469953e-24
"244",-2982.86270883925,3.58954388284232e-24
"245",-2982.88274177689,3.96321995378271e-24
"246",-2982.90207156122,4.38792602764127e-24
"247",-2982.92072291675,4.83035410428142e-24
"248",-2982.93871965104,5.36365928732649e-24
"249",-2982.95608471426,5.88769954865988e-24
"250",-2982.97284030603,6.50544449064624e-24
"251",-2982.98900778621,7.19954173115503e-24
"252",-2983.00460779473,7.95777658477179e-24
"253",-2983.01966023127,8.81679873161949e-24
"254",-2983.03418440902,9.76512827065335e-24
"255",-2983.04819876089,1.07645613602286e-23
"256",-2983.06172120932,1.19625415615095e-23
"257",-2983.07476903659,1.31785844582004e-23
"258",-2983.08735881747,1.45955912952228e-23
"259",-2983.09950674323,1.61093686529371e-23
"260",-2983.11122825454,1.7859116340075e-23
"261",-2983.122538338,1.97462409021513e-23
"262",-2983.13345139595,2.1878798459e-23
"263",-2983.14398136151,2.41439501876235e-23
"264",-2983.15414168152,2.67476627902493e-23
"265",-2983.16394537683,2.96889916701477e-23
"266",-2983.17340494022,3.27416831219933e-23
"267",-2983.18253238822,3.62620379118856e-23
"268",-2983.19133942659,4.02132590342094e-23
"269",-2983.19983719087,4.44983412274115e-23
"270",-2983.20803673913,4.91423758726774e-23
"271",-2983.21594841035,5.4455973208092e-23
"272",-2983.22358227413,6.0294661673049e-23
"273",-2983.23094808291,6.67895346992631e-23
"274",-2983.23805529798,7.39429450615374e-23
"275",-2983.24491297868,8.18446924718837e-23
"276",-2983.25152989488,9.06620095520079e-23
"277",-2983.25791433314,1.00344106024229e-22
"278",-2983.26407453093,1.11075518024532e-22
"279",-2983.27001859925,1.23030716024481e-22
"280",-2983.27575370872,1.36286505492789e-22
"281",-2983.28128741452,1.51048998189854e-22
"282",-2983.28662677561,1.6719349247386e-22
"283",-2983.2917786744,1.85258442954536e-22
"284",-2983.29674942135,2.05086009406028e-22
"285",-2983.30154545155,2.27191971050571e-22
"286",-2983.30617318037,2.51795739583292e-22
"287",-2983.3106379857,2.78962537286885e-22
"288",-2983.31494584268,3.08741953782477e-22
"289",-2983.31910259475,3.42119295633432e-22
"290",-2983.32311301233,3.79116855599384e-22
"291",-2983.32698224218,4.19929678535293e-22
"292",-2983.33071581272,4.65195226723318e-22
"293",-2983.33431775279,5.15250486391789e-22
"294",-2983.33779300041,5.70777703039452e-22
"295",-2983.34114585882,6.32201289363768e-22
"296",-2983.34438078876,7.00422051163769e-22
"297",-2983.34750176942,7.76269072250253e-22
"298",-2983.35051300724,8.59964073299794e-22
"299",-2983.35341809972,9.52736703492587e-22
"300",-2983.35622061602,1.05553952767304e-21
"301",-2983.35892411471,1.16930096935948e-21
"302",-2983.36153294035,1.29575848704927e-21
"303",-2983.36404901644,1.43559826426714e-21
"304",-2983.36647708617,1.59071577428063e-21
"305",-2983.36881835764,1.76267686344078e-21
"306",-2983.37107717845,1.95289555584384e-21
"307",-2983.37325593015,2.16335462139203e-21
"308",-2983.37535836035,2.39689745008096e-21
"309",-2983.37738600016,2.6562018638328e-21
"310",-2983.37934106739,2.94313657776958e-21
"311",-2983.38122653734,3.26100043575999e-21
"312",-2983.38304613162,3.61345676437546e-21
"313",-2983.38480083006,4.00350902604517e-21
"314",-2983.38649405525,4.43616549295375e-21
"315",-2983.38812374417,4.91563060909777e-21
"316",-2983.38969819973,5.44722399247701e-21
"317",-2983.3912153272,6.0350101555233e-21
"318",-2983.39267840045,6.6871069809989e-21
"319",-2983.39408932438,7.41008708224847e-21
"320",-2983.39544803634,8.21113630023577e-21
"321",-2983.3967572877,9.09873987529258e-21
"322",-2983.39802270318,1.00825693053675e-20
"323",-2983.39923761214,1.1170845169361e-20
"324",-2983.40041334922,1.23801086957751e-20
"325",-2983.40154171726,1.37167315030723e-20
"326",-2983.40263090216,1.51988002342358e-20
"327",-2983.40367961586,1.68432576645029e-20
"328",-2983.40468914039,1.86643651341327e-20
"329",-2983.40566362227,2.06831281327566e-20
"330",-2983.40660002609,2.29178843406439e-20
"331",-2983.40750016743,2.53947561076867e-20
"332",-2983.40836806001,2.81416800496774e-20
"333",-2983.40920062875,3.1183787019241e-20
"334",-2983.41000576158,3.45555745628875e-20
"335",-2983.41077420908,3.82888776092721e-20
"336",-2983.41151617084,4.24297317434544e-20
"337",-2983.41223133517,4.70189229381091e-20
"338",-2983.41291596248,5.21024353250556e-20
"339",-2983.41357262179,5.77344891659697e-20
"340",-2983.41420207872,6.39772784455798e-20
"341",-2983.41480776737,7.08952055656234e-20
"342",-2983.41538793096,7.85634696834083e-20
"343",-2983.41594078178,8.70526068053971e-20
"344",-2983.41647218418,9.64681844098747e-20
"345",-2983.41697532324,1.06903860448242e-19
"346",-2983.4174626583,1.18464146804281e-19
"347",-2983.41792841363,1.31270382135702e-19
"348",-2983.41836448235,1.45462157156138e-19
"349",-2983.41878826552,1.61194838965451e-19
"350",-2983.41918430292,1.78633125879112e-19
"351",-2983.41956575396,1.97947965279595e-19
"352",-2983.41992205837,2.19348438443592e-19
"353",-2983.42025532341,2.43074678934086e-19
"354",-2983.42058262464,2.69359229076618e-19
"355",-2983.42087805175,2.98487191359772e-19
"356",-2983.42116104288,3.3076943110082e-19
"357",-2983.42142819207,3.66540534535127e-19
"358",-2983.42166532154,4.06179980581226e-19
"359",-2983.42189251488,4.50096904886695e-19
"360",-2983.42210283948,4.98787403513627e-19
"361",-2983.42229627873,5.52718329823189e-19
"362",-2983.42247075314,6.12496917663416e-19
"363",-2983.42261301764,6.78735623718078e-19
"364",-2983.42276147635,7.5214154001975e-19
"365",-2983.42287587345,8.33473210308837e-19
"366",-2983.4229792804,9.23632844482593e-19
"367",-2983.42306672275,1.02350312529072e-18
"368",-2983.42311457584,1.13420110025004e-18
"369",-2983.42317581069,1.25686425334582e-18
"370",-2983.4231932423,1.39279558951546e-18
"371",-2983.42321353925,1.54342935526468e-18
"372",-2983.42319833955,1.7103594562858e-18
"373",-2983.4231611562,1.89533953313961e-18
"374",-2983.42312181001,2.10029307722606e-18
"375",-2983.42303267215,2.32745641564091e-18
"376",-2983.42295889511,2.57916773170115e-18
"377",-2983.42284345482,2.85811285831432e-18
"378",-2983.42269531875,3.16723291574408e-18
"379",-2983.42252736391,3.50978579378865e-18
"380",-2983.42234890795,3.88936667484177e-18
"381",-2983.42214388393,4.31001788212305e-18
"382",-2983.4219071285,4.77612914016159e-18
"383",-2983.4216441102,5.29270093725602e-18
"384",-2983.42135417759,5.86515311086053e-18
"385",-2983.42105368298,6.49941957997574e-18
"386",-2983.42072414023,7.2023872168728e-18
"387",-2983.42034356685,7.9813667251592e-18
"388",-2983.41993863233,8.84455089687892e-18
"389",-2983.41948166358,9.80115003596556e-18
"390",-2983.41901059383,1.08611550631065e-17
"391",-2983.41851380178,1.20358723517197e-17
"392",-2983.41797142813,1.33376068754162e-17
"393",-2983.4174395504,1.47800818784651e-17
"394",-2983.41676649005,1.63786257277243e-17
"395",-2983.4160877312,1.81500324959165e-17
"396",-2983.41541341873,2.01130662031127e-17
"397",-2983.41465727509,2.22883306478432e-17
"398",-2983.41387632716,2.46989434785841e-17
"399",-2983.41297389712,2.73701933938014e-17
"400",-2983.41208353775,3.03304779910186e-17
"401",-2983.4110537206,3.36108295071284e-17
"402",-2983.41006250572,3.72460019508285e-17
"403",-2983.40900747672,4.12743348734079e-17
"404",-2983.40783458395,4.57383852236183e-17
"405",-2983.40661108523,5.06851585808125e-17
"406",-2983.40522229739,5.6167024943935e-17
"407",-2983.40374107181,6.22417462404355e-17
"408",-2983.40243739795,6.89735694298322e-17
"409",-2983.4006826616,7.64334410500919e-17
"410",-2983.39929614582,8.47000448502182e-17
"411",-2983.39786479898,9.3860766714025e-17
"412",-2983.39575226436,1.04012252992941e-16
"413",-2983.39378913513,1.15261808517271e-16
"414",-2983.39174178518,1.27727839559797e-16
"415",-2983.39011509634,1.41542358271587e-16
"416",-2983.38766182659,1.56850815087067e-16
"417",-2983.38557940756,1.73815173659794e-16
"418",-2983.38311037329,1.92613975845247e-16
"419",-2983.38032534558,2.13446488171735e-16
"420",-2983.37760741951,2.36531620140232e-16
"421",-2983.37446881149,2.62113637765479e-16
"422",-2983.37169073174,2.90463012495779e-16
"423",-2983.36853075386,3.21877747059299e-16
"424",-2983.36463197797,3.566907544851e-16
"425",-2983.36098047766,3.95268872251872e-16
"426",-2983.35725995407,4.38019236472694e-16
"427",-2983.35356828052,4.85393193214775e-16
"428",-2983.34933641482,5.3789117505557e-16
"429",-2983.34492298108,5.96066526281948e-16
"430",-2983.33989216966,6.60534433427557e-16
"431",-2983.3348298618,7.31974592606566e-16
"432",-2983.3298627287,8.11141279822131e-16
"433",-2983.32426051515,8.98870480893237e-16
"434",-2983.31776387856,9.96088073414385e-16
"435",-2983.31182844226,1.10382053937619e-15
"436",-2983.30511005717,1.22320381564625e-15
"437",-2983.29925401626,1.35549984526924e-15
"438",-2983.29157492581,1.50210398864672e-15
"439",-2983.28401840154,1.66456373667907e-15
"440",-2983.2755434149,1.84459519559693e-15
"441",-2983.26768817204,2.04409712997528e-15
"442",-2983.25836438437,2.2651761930873e-15
"443",-2983.24880224105,2.51016637848132e-15
"444",-2983.23894018213,2.78165277313641e-15
"445",-2983.22789788347,3.08250203754067e-15
"446",-2983.21746271282,3.4158892133692e-15
"447",-2983.20597168683,3.78533361030851e-15
"448",-2983.19342795951,4.19473534916856e-15
"449",-2983.1805696036,4.64841529541916e-15
"450",-2983.16565684566,5.15116237056304e-15
"451",-2983.1530796474,5.70828335167016e-15
"452",-2983.13692601415,6.32565824849681e-15
"453",-2983.12115352632,7.00980617768861e-15
"454",-2983.10409079571,7.76794785809362e-15
"455",-2983.08683850952,8.60808184638252e-15
"456",-2983.06834341532,9.53908290502018e-15
"457",-2983.04817832598,1.05707733388197e-14
"458",-2983.02665436362,1.17140430693342e-14
"459",-2983.0050552615,1.29809612126673e-14
"460",-2982.98029448751,1.43848998278561e-14
"461",-2982.9590432017,1.59406757348179e-14
"462",-2982.93225043584,1.76647165408606e-14
"463",-2982.90524602187,1.95752130524113e-14
"464",-2982.87614118311,2.16923385221441e-14
"465",-2982.84678151787,2.40384295386906e-14
"466",-2982.81480723013,2.66382574460553e-14
"467",-2982.78096784615,2.95192560257103e-14
"468",-2982.74780852735,3.27118409861337e-14
"469",-2982.70918743125,3.62497191013876e-14
"470",-2982.66940683884,4.0170197055907e-14
"471",-2982.62951041705,4.4514701505316e-14
"472",-2982.58347416875,4.93290340050308e-14
"473",-2982.54081689187,5.46640164896772e-14
"474",-2982.49524545597,6.05758320445465e-14
"475",-2982.45337872978,6.71264436877117e-14
"476",-2982.43446366177,7.438317152773e-14
"477",-2982.49134440417,8.24163941349516e-14
"478",-2982.76507849033,9.12919196961457e-14
"479",-2983.5662591957,1.01052580750995e-13
"480",-2985.50760997319,1.11680088345239e-13
"481",-2989.63879160318,1.23033245002565e-13
"482",-2997.38524523835,1.34773189835556e-13
"483",-3010.33968331238,1.46316010707594e-13
"484",-3029.59274798234,1.56881069210855e-13
"485",-3055.01998237594,1.65678395104786e-13
"486",-3084.80388000681,1.72183711429103e-13
"487",-3115.69905050433,1.76336492390159e-13
"488",-3144.12084060654,1.78525602776703e-13
"489",-3167.31391484891,1.79377871524168e-13
"490",-3184.14472746536,1.79505685706924e-13
"491",-3195.04422228995,1.79350336995293e-13
"492",-3201.35136288635,1.79153494152717e-13
"493",-3204.62924376374,1.79007299366784e-13
"494",-3206.14867220711,1.78922059622194e-13
"495",-3206.78679944019,1.78880698605441e-13
"496",-3207.01525235629,1.78863432691887e-13
"497",-3207.09547820681,1.78856842878926e-13
"498",-3207.12445508301,1.78854785404591e-13
"499",-3207.1354262723,1.78854013807e-13
"500",-3207.13717094122,1.78853905983963e-13
"501",-3207.13410639274,1.78853934555575e-13
"502",-3207.13119471308,1.78853745738599e-13
"503",-3207.1286592656,1.788538329427e-13
"504",-3207.13362635271,1.78853779705821e-13
"505",-3207.13384412088,1.78853735119116e-13
"506",-3207.1274305377,1.78853865602679e-13
"507",-3207.13450644654,1.78853766490447e-13
"508",-3207.1258540472,1.7885381177587e-13
"509",-3207.12450164034,1.78853796482367e-13
"510",-3207.12796294312,1.78853808034828e-13
"511",-3207.12663285315,1.78853835453772e-13
"512",-3207.12998424867,1.78853840628146e-13
"513",-3207.12593648444,1.78853841981314e-13
"514",-3207.12847261514,1.78853617662342e-13
"515",-3207.13192333088,1.78853700603263e-13
"516",-3207.11801974868,1.78853752986209e-13
"517",-3207.13048548303,1.78853703163305e-13
"518",-3207.12740737345,1.78853909525973e-13
"519",-3207.12847826334,1.78853567676964e-13
"520",-3207.12941710698,1.78853959867771e-13
"521",-3207.13207788673,1.78853927497801e-13
"522",-3207.13189140572,1.78853839456729e-13
"523",-3207.1312230384,1.78853790783143e-13
"524",-3207.13830258147,1.78853565747801e-13
"525",-3207.13909837771,1.78853789784027e-13
"526",-3207.13129353932,1.78853788789627e-13
"527",-3207.13263227943,1.78853930182648e-13
"528",-3207.1287220529,1.78853910717214e-13
"529",-3207.13452277626,1.78853788237324e-13
"530",-3207.13531628852,1.78853946210322e-13
"531",-3207.12809585597,1.78853959154518e-13
"532",-3207.13048187177,1.78853770389382e-13
"533",-3207.13206416662,1.7885399825196e-13
"534",-3207.13113540647,1.78853669830301e-13
"535",-3207.13470263932,1.78853944126703e-13
"536",-3207.12411567033,1.78853896399346e-13
"537",-3207.1326321584,1.78853898005603e-13
"538",-3207.12944954906,1.78854042399508e-13
"539",-3207.13136088762,1.78853893688992e-13
"540",-3207.1293700132,1.78853887533427e-13
"541",-3207.12492735431,1.78854033539932e-13
"542",-3207.13449455888,1.78853767006959e-13
"543",-3207.13070947674,1.78853859353867e-13
"544",-3207.12889807796,1.78853806738502e-13
"545",-3207.1290436002,1.78853859361658e-13
"546",-3207.13140348368,1.78853877771675e-13
"547",-3207.13330831264,1.78853887801524e-13
"548",-3207.12883844127,1.78853988708725e-13
"549",-3207.13197910011,1.78853828404531e-13
"550",-3207.1303710656,1.78853849818574e-13
"551",-3207.12510776196,1.78853860609507e-13
"552",-3207.12608869855,1.78853859704643e-13
"553",-3207.12810989409,1.78853914558454e-13
"554",-3207.13228017001,1.78853745722053e-13
"555",-3207.13027023606,1.78853734789347e-13
"556",-3207.12278296742,1.78853835948915e-13
"557",-3207.13185574258,1.78853774453903e-13
"558",-3207.12637073384,1.7885386157605e-13
"559",-3207.12913060557,1.78853588582206e-13
"560",-3207.12584667267,1.78853818303984e-13
"561",-3207.1252481333,1.78853865549493e-13
"562",-3207.12588281197,1.78853706928709e-13
"563",-3207.12711851827,1.78853739146901e-13
"564",-3207.12119453187,1.78853762874348e-13
"565",-3207.12775674908,1.78853725100268e-13
"566",-3207.12601880008,1.7885380804779e-13
"567",-3207.12829134104,1.78853635814638e-13
"568",-3207.1290470391,1.78853683768708e-13
"569",-3207.12660638412,1.78853571430992e-13
"570",-3207.12824191403,1.78853730189223e-13
"571",-3207.12518908999,1.7885374821424e-13
"572",-3207.12207420852,1.78853671696104e-13
"573",-3207.12141783273,1.78853643092601e-13
"574",-3207.1244248373,1.78853649234104e-13
"575",-3207.12288660531,1.78853652989834e-13
"576",-3207.12803703535,1.78853719721947e-13
"577",-3207.12686755972,1.78853722668161e-13
"578",-3207.12406971034,1.78853785573205e-13
"579",-3207.12869531723,1.78853629215757e-13
"580",-3207.12109378354,1.78853713155569e-13
"581",-3207.13167305909,1.7885364224663e-13
"582",-3207.13179930453,1.78853660692043e-13
"583",-3207.12772656276,1.78853690370934e-13
"584",-3207.13177362243,1.78853611889772e-13
"585",-3207.13263809915,1.78853621759129e-13
"586",-3207.13481417307,1.78853666171721e-13
"587",-3207.13232932872,1.78853703609064e-13
"588",-3207.1310572829,1.78853740264133e-13
"589",-3207.1349627418,1.78853677281184e-13
"590",-3207.13181012542,1.78853805291554e-13
"591",-3207.13539528074,1.78853607271545e-13
"592",-3207.13137204644,1.788535791262e-13
"593",-3207.12904652157,1.78853690159608e-13
"594",-3207.12819941195,1.78853676756449e-13
"595",-3207.13276545503,1.78853591705538e-13
"596",-3207.13029562651,1.78853721862899e-13
"597",-3207.13574702872,1.78853611783476e-13
"598",-3207.1316471003,1.78853738597276e-13
"599",-3207.13645737092,1.78853665911869e-13
"600",-3207.13251890691,1.78853689570208e-13
"601",-3207.13069773166,1.78853793030004e-13
"602",-3207.12999835348,1.78853781630157e-13
"603",-3207.12670287464,1.78853734518147e-13
"604",-3207.12743497237,1.78853806323068e-13
"605",-3207.1272645591,1.78853604741756e-13
"606",-3207.1172713526,1.78853676570956e-13
"607",-3207.11784768875,1.78853585316961e-13
"608",-3207.12659338677,1.78853742968793e-13
"609",-3207.10855060489,1.78853698686221e-13
