"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"17",60848534852430.2,19704646389839,-358851233825548672,1713588580981530112,-2.18355718082715e+31,1.04269354492581e+32,-7.07103666908985e+30,3.3765657045907e+31,1.28774208018119e+35,-6.14923376554593e+35,2.93638582487029e+36
"18",58122012497823.8,19564410207806.7,-418576734125257536,1756799977160790784,-2.43285221721265e+31,1.02108750228716e+32,-8.18920692987059e+30,3.43707554062392e+31,1.75206482350967e+35,-7.35355596951291e+35,3.08634615975215e+36
"19",55410372994530.1,19345098723085.4,-478786648167640512,1792607736326861568,-2.65297467597698e+31,9.93290633027517e+31,-9.26217497609814e+30,3.46781736310097e+31,2.29236654463604e+35,-8.5827664955532e+35,3.21344249633892e+36
"20",52752405321709.7,19062047963259.9,-539102606276841344,1821814842907992576,-2.8438959196306e+31,9.61051150141893e+31,-1.02763997379676e+31,3.4727521915691e+31,2.90631620094483e+35,-9.82145129965533e+35,3.31900932183987e+36
"21",50172650900657.1,18727914086723.7,-599212068805350144,1845152761556918784,-3.00640579436313e+31,9.25762053639787e+31,-1.12219921443145e+31,3.45558623953189e+31,3.59055103401988e+35,-1.10563780351443e+36,3.40458871348112e+36
"22",47685775498288.7,18353129222390.3,-658856119661293440,1863284660598247680,-3.1418065007842e+31,8.8852174014693e+31,-1.20920715031064e+31,3.41971041540574e+31,4.34091386415137e+35,-1.22763650130617e+36,3.47182972642073e+36
"23",45299724963907.9,17946310854609.3,-717819993323260928,1876810125128127488,-3.2517048271138e+31,8.50189824777818e+31,-1.28822207378328e+31,3.36818179206276e+31,5.15265542814606e+35,-1.3472118314885e+36,3.52241624578346e+36
"24",43017945450108.9,17514607403653.6,-775925699043842560,1886270304096409344,-3.33787293948056e+31,8.11434730457797e+31,-1.35900339931584e+31,3.3037283833419e+31,6.02060690436676e+35,-1.46360560429165e+36,3.55801566011596e+36
"25",40840918578421.6,17063979646035.2,-833026213423796224,1892152999854082816,-3.40215557561321e+31,7.72772666049568e+31,-1.42147423504774e+31,3.22876602766945e+31,6.93932672251188e+35,-1.57621304868692e+36,3.5802429748568e+36
"26",38767210152464.9,16599425147292.5,-889000838588072576,1894897486606448640,-3.44640823352613e+31,7.34598890806497e+31,-1.4756902876023e+31,3.14542089907164e+31,7.90322491010296e+35,-1.68456545463156e+36,3.59063648474744e+36
"27",36794180177528.4,16125155278059.8,-943751430924846976,1894898977457972224,-3.47245601922491e+31,6.9721254394803e+31,-1.52181383675543e+31,3.05555402477466e+31,8.90666763372696e+35,-1.78831362143399e+36,3.59064213477127e+36
"28",34918460056886.2,15644734266613.8,-997199287538248832,1892512722154388992,-3.48206634906597e+31,6.60836298956969e+31,-1.56009178643925e+31,2.96078586342914e+31,9.94406419066791e+35,-1.88721233818943e+36,3.58160440351622e+36
