# time,O2,Inert
2.220000000000003221e-02,3.508115982108435116e+00,9.958546035807313501e+02
2.250000000000003386e-02,3.444680505539617688e+00,1.012777597331361108e+03
2.280000000000003552e-02,3.381944480101794159e+00,1.029452743349657794e+03
2.310000000000003717e-02,3.319938787627354504e+00,1.045880258713222474e+03
2.340000000000003882e-02,3.258690231769683976e+00,1.062060657638908424e+03
2.370000000000004048e-02,3.198221882253795556e+00,1.077994725553025773e+03
2.400000000000004213e-02,3.138553392856760382e+00,1.093683494949176293e+03
2.430000000000004379e-02,3.079701294979351189e+00,1.109128222929213052e+03
2.460000000000004544e-02,3.021679268558125298e+00,1.124330370326690172e+03
2.490000000000004710e-02,2.964498391958018786e+00,1.139291582316285712e+03
2.520000000000004875e-02,2.908167372380357829e+00,1.154013670416943341e+03
2.550000000000005040e-02,2.852692758220258362e+00,1.168498595800815337e+03
2.580000000000005206e-02,2.798079134711222604e+00,1.182748453824449371e+03
2.610000000000005371e-02,2.744329304103362066e+00,1.196765459702986163e+03
2.640000000000005537e-02,2.691444451535249360e+00,1.210551935252388603e+03
2.670000000000005702e-02,2.639424297677912978e+00,1.224110296628885635e+03
2.700000000000005868e-02,2.588267239152774568e+00,1.237443042998854025e+03
2.730000000000006033e-02,2.537970477653436419e+00,1.250552746076252788e+03
2.760000000000006198e-02,2.488530138633786581e+00,1.263442040468492678e+03
2.790000000000006364e-02,2.439941380361950962e+00,1.276113614775199267e+03
2.820000000000006529e-02,2.392198494080771454e+00,1.288570203387783522e+03
2.850000000000006695e-02,2.345294995960705453e+00,1.300814578940978208e+03
2.880000000000006860e-02,2.299223711479980281e+00,1.312849545370626856e+03
2.910000000000007025e-02,2.253976852819376653e+00,1.324677931534939944e+03
2.940000000000007191e-02,2.209546089814881764e+00,1.336302585359222348e+03
2.970000000000007356e-02,2.165922614970486215e+00,1.347726368466701615e+03
3.000000000000007522e-02,2.123097202995402721e+00,1.358952151260570417e+03
3.030000000000007687e-02,2.081060265294705669e+00,1.369982808424674658e+03
3.060000000000007853e-02,2.039801899809750463e+00,1.380821214812493054e+03
3.090000000000008018e-02,1.999311936574447834e+00,1.391470241696087442e+03
3.120000000000008183e-02,1.959579979325467347e+00,1.401932753348657343e+03
3.150000000000008349e-02,1.920595443478493980e+00,1.412211603936126039e+03
3.180000000000008514e-02,1.882347590758687961e+00,1.422309634694892111e+03
3.210000000000008680e-02,1.844825560751291782e+00,1.432229671374457212e+03
3.240000000000008845e-02,1.808018399617820737e+00,1.441974521925130375e+03
3.270000000000009011e-02,1.771915086204301382e+00,1.451546974412391819e+03
3.300000000000009176e-02,1.736504555750493450e+00,1.460949795140795459e+03
3.330000000000009341e-02,1.701775721392840834e+00,1.470185726971493750e+03
3.360000000000009507e-02,1.667717493638921633e+00,1.479257487818598520e+03
3.390000000000009672e-02,1.634318797977365456e+00,1.488167769310641461e+03
3.420000000000009838e-02,1.601568590774425926e+00,1.496919235604377263e+03
3.450000000000010003e-02,1.569455873596620865e+00,1.505514522339082305e+03
3.480000000000010169e-02,1.537969706087971122e+00,1.513956235720357881e+03
3.510000000000010334e-02,1.507099217520320611e+00,1.522246951723231405e+03
3.540000000000010499e-02,1.476833617125949960e+00,1.530389215405090226e+03
3.570000000000010665e-02,1.447162203313142603e+00,1.538385540319665324e+03
3.600000000000010830e-02,1.418074371857457994e+00,1.546238408023924194e+03
3.630000000000010996e-02,1.389559623154180690e+00,1.553950267670317089e+03
3.660000000000011161e-02,1.361607568610696095e+00,1.561523535677382142e+03
3.690000000000011326e-02,1.334207936251326165e+00,1.568960595472221712e+03
3.720000000000011492e-02,1.307350575601447851e+00,1.576263797298836380e+03
3.750000000000011657e-02,1.281025461912424834e+00,1.583435458086753215e+03
3.780000000000011823e-02,1.255222699784020568e+00,1.590477861374792838e+03
3.810000000000011988e-02,1.229932526236460433e+00,1.597393257285195887e+03
3.840000000000012154e-02,1.205145313280170383e+00,1.604183862543696705e+03
3.870000000000012319e-02,1.180851570027397601e+00,1.610851860541452652e+03
3.900000000000012484e-02,1.157041944386390186e+00,1.617399401435042591e+03
3.930000000000012650e-02,1.133707224375563039e+00,1.623828602281040958e+03
3.960000000000012815e-02,1.110838339092084626e+00,1.630141547201930052e+03
3.990000000000012981e-02,1.088426359366545748e+00,1.636340287580358108e+03
4.020000000000013146e-02,1.066462498132833447e+00,1.642426842278982804e+03
4.050000000000013312e-02,1.044938110539975096e+00,1.648403197883346820e+03
4.080000000000013477e-02,1.023844693830556540e+00,1.654271308965427352e+03
4.110000000000013642e-02,1.003173887008320220e+00,1.660033098365685873e+03
4.140000000000013808e-02,9.829174703157111948e-01,1.665690457491610914e+03
4.170000000000013973e-02,9.630673645404348449e-01,1.671245246630898919e+03
4.200000000000014139e-02,9.436156301685386660e-01,1.676699295277571764e+03
4.230000000000014304e-02,9.245544664000795443e-01,1.682054402469456363e+03
4.260000000000014470e-02,9.058762100421161589e-01,1.687312337135576627e+03
4.290000000000014635e-02,8.875733342925394842e-01,1.692474838452127869e+03
4.320000000000014800e-02,8.696384474271317000e-01,1.697543616205803573e+03
4.350000000000014966e-02,8.520642914012022118e-01,1.702520351163354007e+03
4.380000000000015131e-02,8.348437403761921338e-01,1.707406695446333515e+03
4.410000000000015297e-02,8.179697991807660662e-01,1.712204272910091504e+03
4.440000000000015462e-02,8.014356017150854328e-01,1.716914679526134250e+03
4.470000000000015627e-02,7.852344093062254560e-01,1.721539483767055572e+03
4.500000000000015793e-02,7.693596090219994021e-01,1.726080226993311044e+03
4.530000000000015958e-02,7.538047119498270110e-01,1.730538423841157282e+03
4.560000000000016124e-02,7.385633514466978244e-01,1.734915562611156474e+03
4.590000000000016289e-02,7.236292813657489997e-01,1.739213105656678636e+03
4.620000000000016455e-02,7.089963742644759259e-01,1.743432489771897053e+03
4.650000000000016620e-02,6.946586195991507617e-01,1.747575126578815571e+03
4.680000000000016785e-02,6.806101219095966881e-01,1.751642402912904799e+03
4.710000000000016951e-02,6.668450989980900800e-01,1.755635681206965955e+03
4.740000000000017116e-02,6.533578801058028684e-01,1.759556299872880572e+03
4.770000000000017282e-02,6.401429040898802825e-01,1.763405573680930047e+03
4.800000000000017447e-02,6.271947176039452954e-01,1.767184794136405344e+03
4.830000000000017613e-02,6.145079732845508680e-01,1.770895229853256296e+03
4.860000000000017778e-02,6.020774279458487310e-01,1.774538126924552444e+03
4.890000000000017943e-02,5.898979407845117429e-01,1.778114709289553048e+03
4.920000000000018109e-02,5.779644715967371393e-01,1.781626179097206887e+03
4.950000000000018274e-02,5.662720790089621481e-01,1.785073717065925621e+03
4.980000000000018440e-02,5.548159187237451384e-01,1.788458482839484986e+03
5.010000000000018605e-02,5.435912417821028297e-01,1.791781615338937854e+03
5.040000000000018771e-02,5.325933928434449793e-01,1.795044233110426376e+03
5.070000000000018936e-02,5.218178084841086362e-01,1.798247434668805454e+03
5.100000000000019101e-02,5.112600155153707027e-01,1.801392298837000226e+03
5.130000000000019267e-02,5.009156293217023048e-01,1.804479885081027760e+03
5.160000000000019432e-02,4.907803522199226665e-01,1.807511233840633167e+03
5.190000000000019598e-02,4.808499718398139278e-01,1.810487366855493519e+03
5.220000000000019763e-02,4.711203595266735822e-01,1.813409287486959101e+03
5.250000000000019929e-02,4.615874687661972176e-01,1.816277981035303128e+03
5.280000000000020094e-02,4.522473336320139148e-01,1.819094415052463773e+03
5.310000000000020259e-02,4.430960672561307656e-01,1.821859539650274655e+03
5.340000000000020425e-02,4.341298603224800767e-01,1.824574287804171718e+03
5.370000000000020590e-02,4.253449795837099257e-01,1.827239575652386293e+03
5.400000000000020756e-02,4.167377664013087735e-01,1.829856302790632071e+03
5.430000000000020921e-02,4.083046353091082659e-01,1.832425352562298713e+03
5.460000000000021086e-02,4.000420726001694405e-01,1.834947592344173017e+03
5.490000000000021252e-02,3.919466349370179792e-01,1.837423873827708576e+03
5.520000000000021417e-02,3.840149479851642789e-01,1.839855033295870044e+03
5.550000000000021583e-02,3.762437050698089758e-01,1.842241891895587514e+03
5.580000000000021748e-02,3.686296658556141304e-01,1.844585255905845088e+03
5.610000000000021914e-02,3.611696550493886937e-01,1.846885917001448661e+03
5.640000000000022079e-02,3.538605611255217220e-01,1.849144652512505218e+03
5.670000000000022244e-02,3.466993350739729363e-01,1.851362225679658877e+03
5.700000000000022410e-02,3.396829891706150129e-01,1.853539385905119843e+03
5.730000000000022575e-02,3.328085957697071717e-01,1.855676868999539920e+03
5.760000000000022741e-02,3.260732861182639719e-01,1.857775397424769608e+03
5.790000000000022906e-02,3.194742491920746774e-01,1.859835680532555443e+03
5.820000000000023072e-02,3.130087305531152331e-01,1.861858414799213961e+03
5.850000000000023237e-02,3.066740312280883951e-01,1.863844284056342303e+03
5.880000000000023402e-02,3.004675066078180135e-01,1.865793959717606867e+03
5.910000000000023568e-02,2.943865653672188554e-01,1.867708101001668638e+03
5.940000000000023733e-02,2.884286684055568095e-01,1.869587355151287966e+03
5.970000000000023899e-02,2.825913278067098688e-01,1.871432357648669949e+03
6.000000000000024064e-02,2.768721058191377371e-01,1.873243732427093164e+03
6.030000000000024230e-02,2.712686138552637960e-01,1.875022092078882224e+03
6.060000000000024395e-02,2.657785115099725592e-01,1.876768038059770333e+03
6.090000000000024560e-02,2.603995055979232420e-01,1.878482160889709576e+03
6.120000000000024726e-02,2.551293492093798521e-01,1.880165040350176923e+03
6.150000000000024891e-02,2.499658407842581531e-01,1.881817245678030986e+03
6.180000000000025057e-02,2.449068232040894078e-01,1.883439335755972706e+03
6.210000000000025222e-02,2.399501829016027210e-01,1.885031859299659118e+03
6.240000000000025387e-02,2.350938489876275295e-01,1.886595355041524044e+03
6.270000000000025553e-02,2.303357923950201946e-01,1.888130351911357820e+03
6.300000000000025024e-02,2.256740250393203806e-01,1.889637369213695820e+03
6.330000000000024496e-02,2.211065989958446720e-01,1.891116916802066953e+03
6.360000000000023967e-02,2.166316056929271372e-01,1.892569495250153295e+03
6.390000000000023439e-02,2.122471751210195379e-01,1.893995596019912455e+03
6.420000000000022911e-02,2.079514750573669135e-01,1.895395701626705886e+03
6.450000000000022382e-02,2.037427103059757383e-01,1.896770285801491582e+03
6.480000000000021854e-02,1.996191219525969562e-01,1.898119813650122069e+03
6.510000000000021325e-02,1.955789866344481431e-01,1.899444741809799325e+03
6.540000000000020797e-02,1.916206158244026514e-01,1.900745518602732545e+03
6.570000000000020268e-02,1.877423551293773696e-01,1.902022584187050143e+03
6.600000000000019740e-02,1.839425836026540029e-01,1.903276370705002137e+03
6.630000000000019211e-02,1.802197130698726668e-01,1.904507302428513185e+03
6.660000000000018683e-02,1.765721874684395287e-01,1.905715795902118089e+03
6.690000000000018154e-02,1.729984822000958655e-01,1.906902260083331612e+03
6.720000000000017626e-02,1.694971034963966283e-01,1.908067096480497185e+03
6.750000000000017097e-02,1.660665877968537929e-01,1.909210699288152455e+03
6.780000000000016569e-02,1.627055011395009687e-01,1.910333455519959671e+03
6.810000000000016041e-02,1.594124385636408181e-01,1.911435745139243409e+03
6.840000000000015512e-02,1.561860235245408346e-01,1.912517941187169754e+03
6.870000000000014984e-02,1.530249073198459431e-01,1.913580409908619458e+03
6.900000000000014455e-02,1.499277685274812422e-01,1.914623510875784632e+03
6.930000000000013927e-02,1.468933124548212343e-01,1.915647597109536264e+03
6.960000000000013398e-02,1.439202705989060249e-01,1.916653015198598723e+03
6.990000000000012870e-02,1.410074001174892733e-01,1.917640105416567394e+03
7.020000000000012341e-02,1.381534833107051496e-01,1.918609201836813554e+03
7.050000000000011813e-02,1.353573271131465472e-01,1.919560632445308556e+03
7.080000000000011284e-02,1.326177625961498796e-01,1.920494719251406195e+03
7.110000000000010756e-02,1.299336444800858192e-01,1.921411778396617137e+03
7.140000000000010227e-02,1.273038506564579397e-01,1.922312120261418386e+03
7.170000000000009699e-02,1.247272817196166395e-01,1.923196049570120522e+03
7.200000000000009170e-02,1.222028605078974983e-01,1.924063865493838875e+03
7.230000000000008642e-02,1.197295316539976062e-01,1.924915861751596140e+03
7.260000000000008114e-02,1.173062611444067455e-01,1.925752326709590989e+03
7.290000000000007585e-02,1.149320358877138348e-01,1.926573543478665897e+03
7.320000000000007057e-02,1.126058632916117908e-01,1.927379790010006445e+03
7.350000000000006528e-02,1.103267708484282489e-01,1.928171339189103264e+03
7.380000000000006000e-02,1.080938057290119630e-01,1.928948458928007994e+03
7.410000000000005471e-02,1.059060343848085561e-01,1.929711412255914865e+03
7.440000000000004943e-02,1.037625421579621288e-01,1.930460457408094953e+03
7.470000000000004414e-02,1.016624328992822845e-01,1.931195847913215857e+03
7.500000000000003886e-02,9.960482859391976695e-02,1.931917832679076810e+03
7.530000000000003357e-02,9.758886899459615072e-02,1.932626656076781046e+03
7.560000000000002829e-02,9.561371126223656980e-02,1.933322558023382499e+03
7.590000000000002300e-02,9.367852961385726707e-02,1.934005774063027502e+03
7.620000000000001772e-02,9.178251497756241550e-02,1.934676535446620619e+03
7.650000000000001243e-02,8.992487465450782480e-02,1.935335069210046868e+03
7.680000000000000715e-02,8.810483198769156199e-02,1.935981598250962406e+03
7.710000000000000187e-02,8.632162603743481766e-02,1.936616341404197101e+03
7.739999999999999658e-02,8.457451126341808401e-02,1.937239513515780118e+03
7.769999999999999130e-02,8.286275721314152742e-02,1.937851325515620147e+03
7.799999999999998601e-02,8.118564821668003417e-02,1.938451984488863900e+03
7.829999999999998073e-02,7.954248308760644703e-02,1.939041693745954490e+03
7.859999999999997544e-02,7.793257482995911978e-02,1.939620652891416512e+03
7.889999999999997016e-02,7.635525035113172043e-02,1.940189057891387392e+03
7.919999999999996487e-02,7.480985018056654501e-02,1.940747101139921142e+03
7.949999999999995959e-02,7.329572819413415763e-02,1.941294971524083849e+03
7.979999999999995430e-02,7.181225134408487920e-02,1.941832854487864779e+03
8.009999999999994902e-02,7.035879939446000597e-02,1.942360932094922873e+03
8.039999999999994373e-02,6.893476466185251283e-02,1.942879383090192960e+03
8.069999999999993845e-02,6.753955176140957750e-02,1.943388382960366926e+03
8.099999999999993316e-02,6.617257735797114904e-02,1.943888103993276900e+03
8.129999999999992788e-02,6.483326992224089369e-02,1.944378715336193636e+03
8.159999999999992260e-02,6.352106949188829343e-02,1.944860383053066698e+03
8.189999999999991731e-02,6.223542743748201878e-02,1.945333270180718273e+03
8.219999999999991203e-02,6.097580623315738968e-02,1.945797536784016756e+03
8.249999999999990674e-02,5.974167923192218871e-02,1.946253340010043985e+03
8.279999999999990146e-02,5.853253044550735945e-02,1.946700834141275209e+03
8.309999999999989617e-02,5.734785432867063604e-02,1.947140170647790228e+03
8.339999999999989089e-02,5.618715556786335608e-02,1.947571498238536151e+03
8.369999999999988560e-02,5.504994887417224286e-02,1.947994962911652237e+03
8.399999999999988032e-02,5.393575878044986477e-02,1.948410708003879790e+03
8.429999999999987503e-02,5.284411944254906873e-02,1.948818874239073466e+03
8.459999999999986975e-02,5.177457444457870400e-02,1.949219599775824463e+03
8.489999999999986446e-02,5.072667660809901391e-02,1.949613020254222192e+03
8.519999999999985918e-02,4.969998780517748127e-02,1.949999268841756020e+03
8.549999999999985389e-02,4.869407877522682199e-02,1.950378476278388234e+03
8.579999999999984861e-02,4.770852894554886148e-02,1.950750770920801415e+03
8.609999999999984333e-02,4.674292625550929836e-02,1.951116278785839086e+03
8.639999999999983804e-02,4.579686698426996966e-02,1.951475123593158742e+03
8.669999999999983276e-02,4.486995558200677220e-02,1.951827426807103393e+03
8.699999999999982747e-02,4.396180450454268557e-02,1.952173307677810499e+03
8.729999999999982219e-02,4.307203405132689622e-02,1.952512883281576478e+03
8.759999999999981690e-02,4.220027220669231305e-02,1.952846268560478620e+03
8.789999999999981162e-02,4.134615448432532592e-02,1.953173576361279629e+03
8.819999999999980633e-02,4.050932377488261626e-02,1.953494917473623218e+03
8.849999999999980105e-02,3.968943019669164685e-02,1.953810400667530075e+03
8.879999999999979576e-02,3.888613094947222792e-02,1.954120132730213300e+03
8.909999999999979048e-02,3.809909017101822254e-02,1.954424218502223539e+03
8.939999999999978519e-02,3.732797879677941105e-02,1.954722760912932245e+03
8.969999999999977991e-02,3.657247442228497847e-02,1.955015861015371001e+03
8.999999999999977462e-02,3.583226116835102476e-02,1.955303618020434897e+03
9.029999999999976934e-02,3.510702954901580991e-02,1.955586129330461745e+03
9.059999999999976406e-02,3.439647634214766658e-02,1.955863490572201044e+03
9.089999999999975877e-02,3.370030446267131830e-02,1.956135795629179711e+03
9.119999999999975349e-02,3.301822283835983973e-02,1.956403136673480276e+03
9.149999999999974820e-02,3.234994628814018974e-02,1.956665604196938375e+03
9.179999999999974292e-02,3.169519540286155207e-02,1.956923287041771573e+03
9.209999999999973763e-02,3.105369642847669032e-02,1.957176272430650897e+03
9.239999999999973235e-02,3.042518115158733896e-02,1.957424645996223944e+03
9.269999999999972706e-02,2.980938678730602268e-02,1.957668491810097976e+03
9.299999999999972178e-02,2.920605586938723047e-02,1.957907892411297780e+03
9.329999999999971649e-02,2.861493614258218271e-02,1.958142928834203531e+03
9.359999999999971121e-02,2.803578045717208811e-02,1.958373680635977507e+03
9.389999999999970592e-02,2.746834666563590516e-02,1.958600225923495373e+03
9.419999999999970064e-02,2.691239752140933694e-02,1.958822641379780634e+03
9.449999999999969535e-02,2.636770057969277728e-02,1.959041002289962307e+03
9.479999999999969007e-02,2.583402810026679333e-02,1.959255382566757817e+03
9.509999999999968479e-02,2.531115695227443424e-02,1.959465854775489106e+03
9.539999999999967950e-02,2.479886852093062324e-02,1.959672490158646497e+03
9.569999999999967422e-02,2.429694861611962631e-02,1.959875358660002576e+03
9.599999999999966893e-02,2.380518738284241598e-02,1.960074528948287252e+03
9.629999999999966365e-02,2.332337921347641882e-02,1.960270068440429668e+03
9.659999999999965836e-02,2.285132266181105071e-02,1.960462043324378783e+03
9.689999999999965308e-02,2.238882035882309302e-02,1.960650518581507185e+03
9.719999999999964779e-02,2.193567893015662545e-02,1.960835558008605631e+03
9.749999999999964251e-02,2.149170891527314026e-02,1.961017224239476491e+03
9.779999999999963722e-02,2.105672468823793775e-02,1.961195578766137032e+03
9.809999999999963194e-02,2.063054438010974295e-02,1.961370681959630701e+03
9.839999999999962665e-02,2.021298980290107267e-02,1.961542593090462333e+03
9.869999999999962137e-02,1.980388637507758676e-02,1.961711370348661831e+03
9.899999999999961608e-02,1.940306304856525069e-02,1.961877070863479503e+03
9.929999999999961080e-02,1.901035223723485101e-02,1.962039750722723284e+03
9.959999999999960552e-02,1.862558974683384966e-02,1.962199464991744890e+03
9.989999999999960023e-02,1.824861470633646135e-02,1.962356267732076958e+03
1.001999999999995949e-01,1.787926950068306070e-02,1.962510212019733672e+03
1.004999999999995897e-01,1.751739970488095169e-02,1.962661349963175553e+03
1.007999999999995844e-01,1.716285401943885847e-02,1.962809732720947522e+03
1.010999999999995791e-01,1.681548420710821112e-02,1.962955410518994995e+03
1.013999999999995738e-01,1.647514503090469901e-02,1.963098432667665975e+03
1.016999999999995685e-01,1.614169419338426156e-02,1.963238847578400964e+03
1.019999999999995632e-01,1.581499227714808914e-02,1.963376702780119103e+03
1.022999999999995580e-01,1.549490268655173350e-02,1.963512044935307586e+03
1.025999999999995527e-01,1.518129159059405237e-02,1.963644919855814578e+03
1.028999999999995474e-01,1.487402786696196549e-02,1.963775372518358608e+03
1.031999999999995421e-01,1.457298304720779786e-02,1.963903447079748958e+03
1.034999999999995368e-01,1.427803126303613286e-02,1.964029186891835707e+03
1.037999999999995315e-01,1.398904919367782718e-02,1.964152634516181024e+03
1.040999999999995262e-01,1.370591601432912671e-02,1.964273831738468061e+03
1.043999999999995210e-01,1.342851334563437311e-02,1.964392819582642915e+03
1.046999999999995157e-01,1.315672520419111993e-02,1.964509638324802154e+03
1.049999999999995104e-01,1.289043795405702200e-02,1.964624327506825693e+03
1.052999999999995051e-01,1.262954025923819328e-02,1.964736925949759325e+03
1.055999999999994998e-01,1.237392303713917736e-02,1.964847471766958051e+03
1.058999999999994945e-01,1.212347941295507069e-02,1.964956002376985907e+03
1.061999999999994893e-01,1.187810467498671800e-02,1.965062554516279761e+03
1.064999999999994840e-01,1.163769623086031123e-02,1.965167164251587792e+03
1.067999999999994787e-01,1.140215356463309369e-02,1.965269866992174229e+03
1.070999999999994734e-01,1.117137819476720154e-02,1.965370697501807626e+03
1.073999999999994681e-01,1.094527363295411636e-02,1.965469689910525631e+03
1.076999999999994628e-01,1.072374534377248424e-02,1.965566877726189659e+03
1.079999999999994575e-01,1.050670070516243615e-02,1.965662293845826298e+03
1.082999999999994523e-01,1.029404896969990206e-02,1.965755970566761562e+03
1.085999999999994470e-01,1.008570122665470789e-02,1.965847939597554841e+03
1.088999999999994417e-01,9.881570364816601518e-03,1.965938232068730258e+03
1.091999999999994364e-01,9.681571036073659611e-03,1.966026878543314979e+03
1.094999999999994311e-01,9.485619619727866936e-03,1.966113909027184491e+03
1.097999999999994258e-01,9.293634187532913080e-03,1.966199352979218929e+03
1.100999999999994206e-01,9.105534469439621054e-03,1.966283239321274777e+03
1.103999999999994153e-01,8.921241820034675474e-03,1.966365596447973530e+03
1.106999999999994100e-01,8.740679185658606007e-03,1.966446452236315508e+03
1.109999999999994047e-01,8.563771072189302683e-03,1.966525834055112682e+03
1.112999999999993994e-01,8.390443513477570392e-03,1.966603768774255286e+03
1.115999999999993941e-01,8.220624040421535203e-03,1.966680282773806084e+03
1.118999999999993888e-01,8.054241650666978808e-03,1.966755401952928878e+03
1.121999999999993836e-01,7.891226778920915064e-03,1.966829151738656265e+03
1.124999999999993783e-01,7.731511267866026174e-03,1.966901557094496411e+03
1.127999999999993730e-01,7.575028339663747792e-03,1.966972642528882034e+03
1.130999999999993677e-01,7.421712568034158353e-03,1.967042432103466581e+03
1.133999999999993624e-01,7.271499850900930290e-03,1.967110949441269668e+03
1.136999999999993571e-01,7.124327383589952080e-03,1.967178217734671989e+03
1.139999999999993519e-01,6.980133632570390510e-03,1.967244259753265851e+03
1.142999999999993466e-01,6.838858309727234921e-03,1.967309097851564047e+03
1.145999999999993413e-01,6.700442347154542989e-03,1.967372753976564127e+03
1.148999999999993360e-01,6.564827872458870416e-03,1.967435249675178966e+03
1.151999999999993307e-01,6.431958184562541238e-03,1.967496606101529551e+03
1.154999999999993254e-01,6.301777729996660936e-03,1.967556844024105658e+03
1.157999999999993201e-01,6.174232079673941040e-03,1.967615983832795109e+03
1.160999999999993149e-01,6.049267906131631199e-03,1.967674045545787067e+03
