# time,A,Inert
3.480000000000010169e-02,1.232217239808595721e+01,1.342122322165497650e+01
3.510000000000010334e-02,1.216818150860056846e+01,1.331793987139016622e+01
3.540000000000010499e-02,1.201610997293944827e+01,1.321533292622115319e+01
3.570000000000010665e-02,1.186593439048438192e+01,1.311340598566034465e+01
3.600000000000010830e-02,1.171763159261323928e+01,1.301216202865405869e+01
3.630000000000010996e-02,1.157117864594681400e+01,1.291160345783911190e+01
3.660000000000011161e-02,1.142655285493158601e+01,1.281173214083393930e+01
3.690000000000011326e-02,1.128373176382996590e+01,1.271254944876141124e+01
3.720000000000011492e-02,1.114269315818213713e+01,1.261405629218745794e+01
3.750000000000011657e-02,1.100341506579733419e+01,1.251625315464730903e+01
3.780000000000011823e-02,1.086587575732608713e+01,1.241914012391988820e+01
3.810000000000011988e-02,1.073005374646009891e+01,1.232271692120018258e+01
3.840000000000012154e-02,1.059592778980132621e+01,1.222698292830939693e+01
3.870000000000012319e-02,1.046347688643772678e+01,1.213193721307358608e+01
3.900000000000012484e-02,1.033268027725926075e+01,1.203757855299260271e+01
3.930000000000012650e-02,1.020351744404426952e+01,1.194390545731322995e+01
3.960000000000012815e-02,1.007596810834323620e+01,1.185091618761275001e+01
3.990000000000012981e-02,9.950012230184189121e+00,1.175860877699212281e+01
4.020000000000013146e-02,9.825630006621466350e+00,1.166698104797144353e+01
4.050000000000013312e-02,9.702801870147332863e+00,1.157603062917407044e+01
4.080000000000013477e-02,9.581508486983931761e+00,1.148575497088015140e+01
4.110000000000013642e-02,9.461730755271155147e+00,1.139615135952493397e+01
4.140000000000013808e-02,9.343449803164542544e+00,1.130721693121210514e+01
4.170000000000013973e-02,9.226646986855692845e+00,1.121894868430790559e+01
4.200000000000014139e-02,9.111303888526441241e+00,1.113134349117725641e+01
4.230000000000014304e-02,8.997402314246890853e+00,1.104439810911913966e+01
4.260000000000014470e-02,8.884924291826211018e+00,1.095810919055461952e+01
4.290000000000014635e-02,8.773852068624375278e+00,1.087247329251737504e+01
4.320000000000014800e-02,8.664168109331882306e+00,1.078748688549332435e+01
4.350000000000014966e-02,8.555855093723961247e+00,1.070314636165269562e+01
4.380000000000015131e-02,8.448895914394976003e+00,1.061944804251519159e+01
4.410000000000015297e-02,8.343273674478112412e+00,1.053638818608603422e+01
4.440000000000015462e-02,8.238971685354911756e+00,1.045396299349833846e+01
4.470000000000015627e-02,8.135973464358714935e+00,1.037216861519460664e+01
4.500000000000015793e-02,8.034262732475559332e+00,1.029100115667838189e+01
4.530000000000015958e-02,7.933823412045827972e+00,1.021045668386459582e+01
4.560000000000016124e-02,7.834639624469372343e+00,1.013053122805556505e+01
4.590000000000016289e-02,7.736695687916738784e+00,1.005122079056763162e+01
4.620000000000016455e-02,7.639976115048612293e+00,9.972521347031850780e+00
4.650000000000016620e-02,7.544465610745525908e+00,9.894428851390523860e+00
4.680000000000016785e-02,7.450149069849500982e+00,9.816939239609975942e+00
4.710000000000016951e-02,7.357011574919196661e+00,9.740048433128556837e+00
4.740000000000017116e-02,7.265038393999825317e+00,9.663752342057650324e+00
4.770000000000017282e-02,7.174214978409068522e+00,9.588046868152245494e+00
4.800000000000017447e-02,7.084526960539955454e+00,9.512927907566526287e+00
4.830000000000017613e-02,6.995960151681600792e+00,9.438391353408931650e+00
4.860000000000017778e-02,6.908500539858533074e+00,9.364433098110112041e+00
4.890000000000017943e-02,6.822134287689302745e+00,9.291049035616463669e+00
4.920000000000018109e-02,6.736847730264851286e+00,9.218235063420854303e+00
4.950000000000018274e-02,6.652627373047190318e+00,9.145987084441568271e+00
4.980000000000018440e-02,6.569459889788668683e+00,9.074301008759698917e+00
5.010000000000018605e-02,6.487332120472241392e+00,9.003172755224511548e+00
5.040000000000018771e-02,6.406231069272937617e+00,8.932598252935703087e+00
5.070000000000018936e-02,6.326143902540713349e+00,8.862573442610852226e+00
5.100000000000019101e-02,6.247057946804894790e+00,8.793094277845858286e+00
5.130000000000019267e-02,6.168960686800254223e+00,8.724156726275582585e+00
5.160000000000019432e-02,6.091839763514814265e+00,8.655756770641456654e+00
5.190000000000019598e-02,6.015682972259408956e+00,8.587890409772400702e+00
5.220000000000019763e-02,5.940478260758991880e+00,8.520553659484907172e+00
5.250000000000019929e-02,5.866213727265656708e+00,8.453742553407806781e+00
5.280000000000020094e-02,5.792877618693352382e+00,8.387453143736820493e+00
5.310000000000020259e-02,5.720458328774157053e+00,8.321681501923730906e+00
5.340000000000020425e-02,5.648944396236080578e+00,8.256423719304628150e+00
5.370000000000020590e-02,5.578324503002241919e+00,8.191675907671356782e+00
5.400000000000020756e-02,5.508587472411316632e+00,8.127434199790124936e+00
5.430000000000020921e-02,5.439722267459105254e+00,8.063694749870855105e+00
5.460000000000021086e-02,5.371717989061091103e+00,8.000453733990726235e+00
5.490000000000021252e-02,5.304563874335791240e+00,7.937707350474966894e+00
5.520000000000021417e-02,5.238249294908793097e+00,7.875451820237993950e+00
5.550000000000021583e-02,5.172763755237237859e+00,7.813683387087522192e+00
5.580000000000021748e-02,5.108096890954607616e+00,7.752398317994304122e+00
5.610000000000021914e-02,5.044238467260686143e+00,7.691592903329850905e+00
5.640000000000022079e-02,4.981178377291472614e+00,7.631263457074391354e+00
5.670000000000022244e-02,4.918906640499031369e+00,7.571406316997152608e+00
5.700000000000022410e-02,4.857413401068770398e+00,7.512017844810937817e+00
5.730000000000022575e-02,4.796688926369597539e+00,7.453094426302760311e+00
5.760000000000022741e-02,4.736723605425564365e+00,7.394632471442299959e+00
5.790000000000022906e-02,4.677507947403444888e+00,7.336628414469716475e+00
5.820000000000023072e-02,4.619032580115650433e+00,7.279078713964315384e+00
5.850000000000023237e-02,4.561288248539447920e+00,7.221979852895447749e+00
5.880000000000023402e-02,4.504265813353466541e+00,7.165328338656923535e+00
5.910000000000023568e-02,4.447956249491978653e+00,7.109120703086134085e+00
5.940000000000023733e-02,4.392350644717063268e+00,7.053353502469009939e+00
5.970000000000023899e-02,4.337440198208603270e+00,6.998023317531853138e+00
6.000000000000024064e-02,4.283216219171877448e+00,6.943126753421026365e+00
6.030000000000024230e-02,4.229670125462591912e+00,6.888660439671383529e+00
6.060000000000024395e-02,4.176793442229052467e+00,6.834621030164320210e+00
6.090000000000024560e-02,4.124577800571315400e+00,6.781005203076210464e+00
6.120000000000024726e-02,4.073014936217041360e+00,6.727809660817965387e+00
6.150000000000024891e-02,4.022096688213871118e+00,6.675031129966428445e+00
6.180000000000025057e-02,3.971814997638105194e+00,6.622666361188195516e+00
6.210000000000025222e-02,3.922161906319484803e+00,6.570712129156521364e+00
6.240000000000025387e-02,3.873129555581861005e+00,6.519165232461815229e+00
6.270000000000025553e-02,3.824710184999582374e+00,6.468022493516264682e+00
6.300000000000025024e-02,3.776896131169381832e+00,6.417280758453074441e+00
6.330000000000024496e-02,3.729679826497585893e+00,6.366936897020773145e+00
6.360000000000023967e-02,3.683053798002455359e+00,6.316987802472987745e+00
6.390000000000023439e-02,3.637010666131464287e+00,6.267430391454101191e+00
6.420000000000022911e-02,3.591543143593352916e+00,6.218261603881139798e+00
6.450000000000022382e-02,3.546644034204742724e+00,6.169478402822247354e+00
6.480000000000021854e-02,3.502306231751159071e+00,6.121077774372038149e+00
6.510000000000021325e-02,3.458522718862279355e+00,6.073056727524148712e+00
6.540000000000020797e-02,3.415286565901214821e+00,6.025412294041240457e+00
6.570000000000020268e-02,3.372590929867676390e+00,5.978141528322735709e+00
6.600000000000019740e-02,3.330429053314830856e+00,5.931241507270482494e+00
6.630000000000019211e-02,3.288794263279694263e+00,5.884709330152619877e+00
6.660000000000018683e-02,3.247679970226886592e+00,5.838542118465809949e+00
6.690000000000018154e-02,3.207079667005581669e+00,5.792737015796046052e+00
6.720000000000017626e-02,3.166986927819490205e+00,5.747291187678208679e+00
6.750000000000017097e-02,3.127395407209718314e+00,5.702201821454549346e+00
6.780000000000016569e-02,3.088298839050334088e+00,5.657466126132226769e+00
6.810000000000016041e-02,3.049691035556481911e+00,5.613081332240064114e+00
6.840000000000015512e-02,3.011565886304909068e+00,5.569044691684661430e+00
6.870000000000014984e-02,2.973917357266716799e+00,5.525353477605964514e+00
6.900000000000014455e-02,2.936739489852218110e+00,5.482004984232414557e+00
6.930000000000013927e-02,2.900026399967719826e+00,5.438996526735806469e+00
6.960000000000013398e-02,2.863772277084107198e+00,5.396325441085919827e+00
6.990000000000012870e-02,2.827971383317069431e+00,5.353989083905032587e+00
7.020000000000012341e-02,2.792618052518819116e+00,5.311984832322404593e+00
7.050000000000011813e-02,2.757706689381169696e+00,5.270310083828804615e+00
7.080000000000011284e-02,2.723231768549830178e+00,5.228962256131144848e+00
7.110000000000010756e-02,2.689187833749767442e+00,5.187938787007306374e+00
7.140000000000010227e-02,2.655569496921503791e+00,5.147237134161215977e+00
7.170000000000009699e-02,2.622371437368221425e+00,5.106854775078209840e+00
7.200000000000009170e-02,2.589588400913517496e+00,5.066789206880767615e+00
7.230000000000008642e-02,2.557215199069704514e+00,5.027037946184647943e+00
7.260000000000008114e-02,2.525246708216496216e+00,4.987598528955464516e+00
7.290000000000007585e-02,2.493677868789971441e+00,4.948468510365778172e+00
7.320000000000007057e-02,2.462503684481677890e+00,4.909645464652690805e+00
7.350000000000006528e-02,2.431719221447743884e+00,4.871126984976021923e+00
7.380000000000006000e-02,2.401319607527888866e+00,4.832910683277078512e+00
7.410000000000005471e-02,2.371300031474190106e+00,4.794994190138054613e+00
7.440000000000004943e-02,2.341655742189500344e+00,4.757375154642081050e+00
7.470000000000004414e-02,2.312382047975380495e+00,4.720051244233951948e+00
7.500000000000003886e-02,2.283474315789445708e+00,4.683020144581565347e+00
7.530000000000003357e-02,2.254927970511987123e+00,4.646279559438068141e+00
7.560000000000002829e-02,2.226738494221773834e+00,4.609827210504760409e+00
7.590000000000002300e-02,2.198901425480900507e+00,4.573660837294737824e+00
7.620000000000001772e-02,2.171412358628589168e+00,4.537778196997320990e+00
7.650000000000001243e-02,2.144266943083806165e+00,4.502177064343272583e+00
7.680000000000000715e-02,2.117460882656616583e+00,4.466855231470795218e+00
7.710000000000000187e-02,2.090989934868133115e+00,4.431810507792362408e+00
7.739999999999999658e-02,2.064849910278981682e+00,4.397040719862350677e+00
7.769999999999999130e-02,2.039036671826155889e+00,4.362543711245511879e+00
7.799999999999998601e-02,2.013546134168166191e+00,4.328317342386272415e+00
7.829999999999998073e-02,1.988374263038378054e+00,4.294359490478876218e+00
7.859999999999997544e-02,1.963517074606435653e+00,4.260668049338380392e+00
7.889999999999997016e-02,1.938970634847667629e+00,4.227240929272499059e+00
7.919999999999996487e-02,1.914731058920382756e+00,4.194076056954299858e+00
7.949999999999995959e-02,1.890794510550950047e+00,4.161171375295769970e+00
7.979999999999995430e-02,1.867157201426565605e+00,4.128524843322232130e+00
8.009999999999994902e-02,1.843815390595614279e+00,4.096134436047635496e+00
8.039999999999994373e-02,1.820765383875529553e+00,4.063998144350703612e+00
8.069999999999993845e-02,1.798003533268057064e+00,4.032113974851951888e+00
8.099999999999993316e-02,1.775526236381828715e+00,4.000479949791567513e+00
8.129999999999992788e-02,1.753329935862159683e+00,3.969094106908166442e+00
8.159999999999992260e-02,1.731411118827971052e+00,3.937954499318400359e+00
8.189999999999991731e-02,1.709766316315758594e+00,3.907059195397435403e+00
8.219999999999991203e-02,1.688392102730505773e+00,3.876406278660296856e+00
8.249999999999990674e-02,1.667285095303473685e+00,3.845993847644067820e+00
8.279999999999990146e-02,1.646441953556759596e+00,3.815820015790951203e+00
8.309999999999989617e-02,1.625859378774557440e+00,3.785882911332189238e+00
8.339999999999989089e-02,1.605534113481030145e+00,3.756180677172828997e+00
8.369999999999988560e-02,1.585462940924702746e+00,3.726711470777350765e+00
8.399999999999988032e-02,1.565642684569312104e+00,3.697473464056133530e+00
8.429999999999987503e-02,1.546070207591017764e+00,3.668464843252771335e+00
8.459999999999986975e-02,1.526742412381899117e+00,3.639683808832224976e+00
8.489999999999986446e-02,1.507656240059661146e+00,3.611128575369821458e+00
8.519999999999985918e-02,1.488808669983475275e+00,3.582797371441066581e+00
8.549999999999985389e-02,1.470196719275866037e+00,3.554688439512316833e+00
8.579999999999984861e-02,1.451817442350580523e+00,3.526800035832242664e+00
8.609999999999984333e-02,1.433667930446362648e+00,3.499130430324137730e+00
8.639999999999983804e-02,1.415745311166552334e+00,3.471677906479036402e+00
8.669999999999983276e-02,1.398046748024445174e+00,3.444440761249634608e+00
8.699999999999982747e-02,1.380569439994332903e+00,3.417417304945034484e+00
8.729999999999982219e-02,1.363310621068163586e+00,3.390605861126279041e+00
8.759999999999981690e-02,1.346267559817736048e+00,3.364004766502686650e+00
8.789999999999981162e-02,1.329437558962378141e+00,3.337612370828984432e+00
8.819999999999980633e-02,1.312817954942023135e+00,3.311427036803221924e+00
8.849999999999980105e-02,1.296406117495626065e+00,3.285447139965474772e+00
8.879999999999979576e-02,1.280199449244854515e+00,3.259671068597320254e+00
8.909999999999979048e-02,1.264195385282979478e+00,3.234097223622093953e+00
8.939999999999978519e-02,1.248391392768910313e+00,3.208724018505905828e+00
8.969999999999977991e-02,1.232784970526303647e+00,3.183549879159427665e+00
8.999999999999977462e-02,1.217373648647685602e+00,3.158573243840430589e+00
9.029999999999976934e-02,1.202154988103522726e+00,3.133792563057082425e+00
9.059999999999976406e-02,1.187126580356181904e+00,3.109206299471989343e+00
9.089999999999975877e-02,1.172286046978716412e+00,3.084812927806980909e+00
9.119999999999975349e-02,1.157631039278418594e+00,3.060610934748630996e+00
9.149999999999974820e-02,1.143159237925078786e+00,3.036598818854514992e+00
9.179999999999974292e-02,1.128868352583892065e+00,3.012775090460189542e+00
9.209999999999973763e-02,1.114756121552955337e+00,2.989138271586898377e+00
9.239999999999973235e-02,1.100820311405297458e+00,2.965686895849993565e+00
9.269999999999972706e-02,1.087058716635383560e+00,2.942419508368063763e+00
9.299999999999972178e-02,1.073469159310039389e+00,2.919334665672779661e+00
9.329999999999971649e-02,1.060049488723740607e+00,2.896430935619431324e+00
9.359999999999971121e-02,1.046797581058212634e+00,2.873706897298164975e+00
9.389999999999970592e-02,1.033711339046284650e+00,2.851161140945913441e+00
9.419999999999970064e-02,1.020788691639948009e+00,2.828792267859007836e+00
9.449999999999969535e-02,1.008027593682563339e+00,2.806598890306478022e+00
9.479999999999969007e-02,9.954260255851689054e-01,2.784579631444017878e+00
9.509999999999968479e-02,9.829819930068325329e-01,2.762733125228634901e+00
9.539999999999967950e-02,9.706935265390013168e-01,2.741058016333953073e+00
9.569999999999967422e-02,9.585586813937985173e-01,2.719552960066187630e+00
9.599999999999966893e-02,9.465755370962181114e-01,2.698216622280767751e+00
9.629999999999966365e-02,9.347421971801643803e-01,2.677047679299616512e+00
9.659999999999965836e-02,9.230567888882967864e-01,2.656044817829072091e+00
9.689999999999965308e-02,9.115174628756230746e-01,2.635206734878453805e+00
9.719999999999964779e-02,9.001223929168016280e-01,2.614532137679262291e+00
9.749999999999964251e-02,8.888697756171006770e-01,2.594019743605013861e+00
9.779999999999963722e-02,8.777578301269731709e-01,2.573668280091700122e+00
9.809999999999963194e-02,8.667847978602001291e-01,2.553476484558869330e+00
9.839999999999962665e-02,8.559489422155549532e-01,2.533443104331326801e+00
9.869999999999962137e-02,8.452485483019531731e-01,2.513566896561442832e+00
9.899999999999961608e-02,8.346819226670330050e-01,2.493846628152080136e+00
9.929999999999961080e-02,8.242473930291331907e-01,2.474281075680107911e+00
9.959999999999960552e-02,8.139433080126191600e-01,2.454869025320530529e+00
9.989999999999960023e-02,8.037680368865202096e-01,2.435609272771200207e+00
1.001999999999995949e-01,7.937199693064331818e-01,2.416500623178122975e+00
1.004999999999995897e-01,7.837975150596534490e-01,2.397541891061346409e+00
1.007999999999995844e-01,7.739991038134927948e-01,2.378731900241433106e+00
1.010999999999995791e-01,7.643231848667427775e-01,2.360069483766505272e+00
1.013999999999995738e-01,7.547682269042464975e-01,2.341553483839864835e+00
1.016999999999995685e-01,7.453327177545382431e-01,2.323182751748172681e+00
1.019999999999995632e-01,7.360151641505139342e-01,2.304956147790203413e+00
1.022999999999995580e-01,7.268140914930918406e-01,2.286872541206143694e+00
1.025999999999995527e-01,7.177280436178313794e-01,2.268930810107457674e+00
1.028999999999995474e-01,7.087555825644660246e-01,2.251129841407293330e+00
1.031999999999995421e-01,6.998952883493205768e-01,2.233468530751438141e+00
1.034999999999995368e-01,6.911457587405720471e-01,2.215945782449814327e+00
1.037999999999995315e-01,6.825056090363210703e-01,2.198560509408510111e+00
1.040999999999995262e-01,6.739734718454369888e-01,2.181311633062347433e+00
1.043999999999995210e-01,6.655479968711445204e-01,2.164198083307976805e+00
1.046999999999995157e-01,6.572278506973140422e-01,2.147218798437491305e+00
1.049999999999995104e-01,6.490117165774261787e-01,2.130372725072570361e+00
1.052999999999995051e-01,6.408982942261719495e-01,2.113658818099131143e+00
1.055999999999994998e-01,6.328862996136607189e-01,2.097076040602500413e+00
1.058999999999994945e-01,6.249744647621997551e-01,2.080623363803085102e+00
1.061999999999994893e-01,6.171615375456150909e-01,2.064299766992556240e+00
1.064999999999994840e-01,6.094462814910814874e-01,2.048104237470529831e+00
1.067999999999994787e-01,6.018274755834283063e-01,2.032035770481740666e+00
1.070999999999994734e-01,5.943039140718943125e-01,2.016093369153716175e+00
1.073999999999994681e-01,5.868744062792973226e-01,2.000276044434932565e+00
1.076999999999994628e-01,5.795377764135885013e-01,1.984582815033457903e+00
1.079999999999994575e-01,5.722928633817657706e-01,1.969012707356078140e+00
1.082999999999994523e-01,5.651385206061100286e-01,1.953564755447899648e+00
1.085999999999994470e-01,5.580736158427213045e-01,1.938238000932422267e+00
1.088999999999994417e-01,5.510970310023227681e-01,1.923031492952089527e+00
1.091999999999994364e-01,5.442076619733043907e-01,1.907944288109296282e+00
1.094999999999994311e-01,5.374044184469809471e-01,1.892975450407865079e+00
1.097999999999994258e-01,5.306862237450319375e-01,1.878124051194982158e+00
1.100999999999994206e-01,5.240520146491010056e-01,1.863389169103581766e+00
1.103999999999994153e-01,5.175007412325249856e-01,1.848769889995192317e+00
1.106999999999994100e-01,5.110313666941663779e-01,1.834265306903221537e+00
1.109999999999994047e-01,5.046428671943231636e-01,1.819874519976694582e+00
1.112999999999993994e-01,4.983342316926915316e-01,1.805596636424425361e+00
1.115999999999993941e-01,4.921044617883520988e-01,1.791430770459633059e+00
1.118999999999993888e-01,4.859525715617584174e-01,1.777376043244990100e+00
1.121999999999993836e-01,4.798775874187002910e-01,1.763431582838098421e+00
1.124999999999993783e-01,4.738785479362176423e-01,1.749596524137398301e+00
1.127999999999993730e-01,4.679545037104413385e-01,1.735870008828499511e+00
1.130999999999993677e-01,4.621045172063356077e-01,1.722251185330931689e+00
1.133999999999993624e-01,4.563276626093196175e-01,1.708739208745314375e+00
1.136999999999993571e-01,4.506230256787437383e-01,1.695333240800941832e+00
1.139999999999993519e-01,4.449897036031975062e-01,1.682032449803779084e+00
1.142999999999993466e-01,4.394268048576265850e-01,1.668836010584860752e+00
1.145999999999993413e-01,4.339334490622362983e-01,1.655743104449105774e+00
1.148999999999993360e-01,4.285087668431595276e-01,1.642752919124520927e+00
1.151999999999993307e-01,4.231518996948647193e-01,1.629864648711812025e+00
1.154999999999993254e-01,4.178619998442859029e-01,1.617077493634387020e+00
1.157999999999993201e-01,4.126382301166510724e-01,1.604390660588748796e+00
1.160999999999993149e-01,4.074797638029873381e-01,1.591803362495284535e+00
