# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.198,-2.74722253738797E+016,180566932172.523,-9.00764492745771E+029,-9.25639345035529E+030,0
0.2,-2.38394806323658E+016,156689960511.218,-7.8164617892148E+029,-8.03974254868699E+030,0
0.202,-2.06853559275626E+016,135958818613.175,-6.78222965613425E+029,-6.98229539334584E+030,0
0.204,-1.79470523778698E+016,117960747785.837,-5.88435367457607E+029,-6.06332583481694E+030,0
0.206,-1.55699720384261E+016,102336891693.732,-5.10492872095816E+029,-5.26479003707445E+030,0
0.208,-1.35066527462461E+016,88775295406.9041,-4.42839001825607E+029,-4.57098174432456E+030,0
0.21,-1.17158404357382E+016,77004808004.0414,-3.84120884983891E+029,-3.96823148903839E+030,0
0.212,-1.01616813150737E+016,66789772983.411,-3.33162759289304E+029,-3.44464419584001E+030,0
0.214,-8813018528545044,57925405430.7156,-2.88942902725485E+029,-2.98987032706535E+030,0
0.216,-7642779886132584,50233767745.2666,-2.50573551711042E+029,-2.59490632238812E+030,0
0.218,-6627444949795307,43560266953.8239,-2.17283422366515E+029,-2.25192061659323E+030,0
0.22,-5746581259699016,37770606461.2981,-1.88402499704555E+029,-1.95410198583195E+030,0
0.222,-4982440788652475,32748133664.1823,-1.6334880238015E+029,-1.69552738111534E+030,0
0.224,-4.31960885278798E+015,28391532342.9328,-1.41616868042517E+029,-1.47104676567134E+030,0
0.226,-3744698701852457,24612815293.2648,-1.22767736983866E+029,-1.27618278605775E+030,0
0.228,-3.24608588163889E+015,21335578368.1952,-1.06420240298799E+029,-1.10704338125834E+030,0
0.23,-2.81367721966401E+015,18493482088.4615,-9.22434236517932E+028,-9.6024567396863E+029,0
0.232,-2.4387099471721E+015,16028931330.0687,-7.99499594702301E+028,-8.32849698278778E+029,0
0.234,-2.11357704804035E+015,13891927393.7469,-6.92904193284715E+028,-7.22300701602266E+029,0
0.236,-1831675429124781,12039070073.0478,-6.00482948167778E+028,-6.26378919267384E+029,0
0.238,-1587273945872433,10432690225.1856,-5.2035669603186E+028,-5.4315586054162E+029,0
0.24,-1375398700169861,9040095867.26527,-4.50894579648127E+028,-4.70956267508213E+029,0
0.242,-1.19173336144011E+015,7832917016.06234,-3.90681360215153E+028,-4.08325015365778E+029,0
0.244,-1.03253255304477E+015,6786536402.07844,-3.38489014544387E+028,-3.53998316310164E+029,0
0.246,-894546599829249,5879594857.09923,-2.93252058141304E+028,-3.06878670883186E+029,0
0.248,-774956153628023,5093561626.77541,-2.54046107731987E+028,-2.66013082013604E+029,0
0.25,-671315406119481,4412361125.26308,-2.20069259952226E+028,-2.30574109250699E+029,0
0.252,-581502766187171,3822048751.89702,-1.90625917926361E+028,-1.99843395025315E+029,0
0.254,-503678024926569,3310529349.30896,-1.65112745373975E+028,-1.73197342182768E+029,0
0.256,-436245158692207,2867312718.68029,-1.43006469594052E+028,-1.50094663379826E+029,0
0.258,-377820031233242,2483301335.30666,-1.23853290992055E+028,-1.30065559000232E+029,0
0.26,-327202352374926,2150606041.19119,-1.07259688422314E+028,-1.12702311682229E+029,0
0.262,-283351334567512,1862386042.64027,-9.28844371292215E+027,-9.76511129615429E+028,0
0.264,-245364561608942,1612710020.52081,-8.04316800066405E+027,-8.46049614196514E+028,0
0.266,-212459647341486,1396435578.24212,-6.96449137231271E+027,-7.32974925447563E+028,0
0.268,-183958317387531,1209104615.62631,-6.03017693778946E+027,-6.34976186486503E+028,0
0.27,-159272595017942,1046852532.65483,-5.22094831113479E+027,-5.50048729811769E+028,0
0.272,-137892814052510,906329441.754179,-4.52009657999351E+027,-4.76453659443501E+028,0
0.274,-119377218024689,784631806.132323,-3.91313928832548E+027,-4.1268273290749E+028,0
0.276,-103342936445841,679243129.39627,-3.3875245733344E+027,-3.57427866232032E+028,0
0.278,-89458156471712.1,587982502.192113,-2.93237449852002E+027,-3.09554655954568E+028,0
