# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.08,-6.95634009674365E+019,457222857741319,-2.2437667978824E+033,-6.13052797244401E+034,0
0.082,-6.20011152256449E+019,407517847098536,-1.99954773878736E+033,-5.49446475287081E+034,0
0.084,-5.52387121868672E+019,363070264550590,-1.7812008977638E+033,-4.92154059759539E+034,0
0.086,-4.91950098296482E+019,323346521151616,-1.58609485341258E+033,-4.40591801760392E+034,0
0.088,-4.3796519167851E+019,287863592320644,-1.41184833621618E+033,-3.94223190790387E+034,0
0.09,-3.89768047962189E+019,256184814876573,-1.25630931717693E+033,-3.52556238285916E+034,0
0.092,-3.46758842493412E+019,227915939177260,-1.11753538539478E+033,-3.15140724755116E+034,0
0.094,-3.0839665608332E+019,202701432647810,-9.93775392089071E+032,-2.81565449243984E+034,0
0.096,-2.74194228804119E+019,180221031593470,-8.83452341923405E+032,-2.51455516372997E+034,0
0.098,-2.43713086370746E+019,160186537884875,-7.85147511460333E+032,-2.24469691981824E+034,0
0.1,-2.16559030568994E+019,142338854938816,-6.97585764309446E+032,-2.00297851940329E+034,0
0.102,-1.92377981693168E+019,126445255055036,-6.19622020970519E+032,-1.78658542066134E+034,0
0.104,-1.70852157731873E+019,112296868091555,-5.50228831997558E+032,-1.59296661305584E+034,0
0.106,-1.51696573110663E+019,99706380179189.1,-4.88484996584578E+032,-1.41981275584202E+034,0
0.108,-1.34655838367956E+019,88505930227676.4,-4.33565164715861E+032,-1.26503565942767E+034,0
0.11,-1.19501241604735E+019,78545191637510.4,-3.84730359165507E+032,-1.12674911614172E+034,0
0.112,-1.06028092274745E+019,69689626440477.3,-3.41319353377626E+032,-1.00325106419048E+034,0
0.114,-9.40533082514621E+018,61818899339572.1,-3.02740842225471E+032,-8.93007051454866E+033,0
0.116,-8.34132275398647E+018,54825439402603,-2.68466344492055E+032,-7.9463495320539E+033,0
0.118,-7.39616267557913E+018,48613137657603.6,-2.38023778387696E+032,-7.06890888934222E+033,0
0.12,-6.55679293508092E+018,43096169405652.6,-2.10991654304737E+032,-6.28656277558421E+033,0
0.122,-5.81155874883904E+018,38197930668310.9,-1.86993832165327E+032,-5.58925966683502E+033,0
0.124,-5.15006224755846E+018,33850078849762.5,-1.65694793997713E+032,-4.96797369865893E+033,0
0.126,-4.56303096547146E+018,29991668349724.1,-1.4679538571272E+032,-4.41460545539902E+033,0
0.128,-4.04219946591989E+018,26568372517687.1,-1.30028985351087E+032,-3.92189152081253E+033,0
0.13,-3.58020289157223E+018,23531783986185.1,-1.15158058300818E+032,-3.48332215141281E+033,0
0.132,-3.1704813224281E+018,20838786038422.4,-1.01971063089476E+032,-3.0930664564136E+033,0
0.134,-2.8071939143994E+018,18450988264413.3,-9.02796743267795E+031,-2.74590449522466E+033,0
0.136,-2.48514187825252E+018,16334220319518.6,-7.99162921812728E+031,-2.43716573328813E+033,0
0.138,-2.19969943778436E+018,14458078131018.4,-7.07318104166907E+031,-2.16267332865537E+033,0
0.14,-1.94675198317698E+018,12795517394650.7,-6.25936174838386E+031,-1.91869375417444E+033,0
0.142,-1.72264070468281E+018,11322489666254.1,-5.53838074614773E+031,-1.70189129274611E+033,0
0.144,-1.52411305769239E+018,10017616780947,-4.89975797688803E+031,-1.50928697530888E+033,0
0.146,-1.34827847023963E+018,8861899729603.95,-4.33418085359672E+031,-1.33822156255207E+033,0
0.148,-1.19256875940401E+018,7838458485752.12,-3.83337643263001E+031,-1.1863222016699E+033,0
0.15,-1.05470277411962E+018,6932299611793.72,-3.38999725641453E+031,-1.05147241835094E+033,0
0.152,-9.32654828585364E+017,6130108779400.06,-2.99751945353758E+031,-9.31785131711671E+032,0
0.154,-8.24626532712104E+017,5420065618361.72,-2.65015182153976E+031,-8.25578405758963E+032,0
0.156,-7.29021665245554E+017,4791678563784.63,-2.34275474394857E+031,-7.31353675312455E+032,0
0.158,-6.44423770304339E+017,4235637603724.46,-2.07076790775177E+031,-6.47776207025139E+032,0
0.16,-5.69576190055142E+017,3743683038966,-1.83014589161891E+031,-5.73657577282238E+032,0
0.162,-5.03364275556203E+017,3308488559352.57,-1.61730078952211E+031,-5.07939968353113E+032,0
0.164,-4.4479954390253E+017,2923557112672.92,-1.42905111979704E+031,-4.49682102284057E+032,0
0.166,-3.93005573685087E+017,2583128198995.17,-1.26257634685218E+031,-3.98046648709532E+032,0
0.168,-3.47205452279597E+017,2282095364835.19,-1.11537641239074E+031,-3.52288958097754E+032,0
0.17,-3.06710607815291E+017,2015932798502.67,-9.85235735826015E+030,-3.11746986016729E+032,0
0.172,-2.70910876192353E+017,1780630043045.6,-8.70191200141781E+030,-2.75832286877002E+032,0
0.174,-2.39265669171639E+017,1572633946341.9,-7.68503690375893E+030,-2.44021967368894E+032,0
0.176,-2.11296123773392E+017,1388797061046.49,-6.78632797661592E+030,-2.15851500525517E+032,0
0.178,-1.86578125855338E+017,1226331790267.62,-5.99214342896941E+030,-1.90908311103923E+032,0
0.18,-1.64736112211323E+017,1082769650368.24,-5.29040411011811E+030,-1.6882605184044E+032,0
0.182,-1.45437565700839E+017,955925088784.458,-4.67041619911356E+030,-1.49279498184659E+032,0
0.184,-1.28388127166969E+017,843863355884.001,-4.1227137784584E+030,-1.3197999640944E+032,0
0.186,-1.13327256049371E+017,744871983272.728,-3.63891909532216E+030,-1.16671406595996E+032,0
0.188,-1.00024379013386E+017,657435469670.736,-3.21161855152362E+030,-1.03126487965499E+032,0
0.19,-8.82754724749916E+016,580212818712.425,-2.83425267626439E+030,-9.11436794178047E+031,0
0.192,-7.7900030796466E+016,512017611655.45,-2.50101852601498E+030,-8.05442330069545E+031,0
0.194,-6.87383772069547E+016,451800332714.036,-2.20678312599607E+030,-7.11696624686392E+031,0
0.196,-6.06492791786401E+016,398632695532.889,-1.94700671958605E+030,-6.28794728652151E+031,0
0.198,-5.3507834218312E+016,351693747020.186,-1.71767472769539E+030,-5.55491409721277E+031,0
0.2,-4.72035957669799E+016,310257549346.461,-1.51523744110214E+030,-4.90683192247831E+031,0
0.202,-4.16389122494378E+016,273682262933.098,-1.33655657677824E+030,-4.33392389204617E+031,0
